TractId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
29149480100,Missouri,Oregon County,3759,1799,1960,0.9,95.3,0.3,0.0,0.0,0.0,2917,30040.0,3493.0,17245.0,2386.0,28.9,59.7,20.7,20.3,18.6,13.0,27.4,89.8,3.6,0.8,2.5,0.0,3.3,20.0,1583,80.2,8.6,11.2,0.0,5.2
29149480200,Missouri,Oregon County,4471,2222,2249,1.3,95.6,0.2,1.9,0.5,0.0,3303,30161.0,5140.0,16500.0,1437.0,24.6,26.4,28.1,20.0,23.0,8.0,20.9,84.1,7.5,0.0,1.9,2.3,4.2,20.1,1628,76.7,12.9,9.8,0.6,3.7
29149480300,Missouri,Oregon County,2549,1240,1309,3.3,90.5,0.0,1.0,2.7,0.0,2134,42148.0,8380.0,23051.0,3541.0,21.3,33.5,31.9,15.8,13.3,15.3,23.7,74.0,10.0,7.7,1.0,4.1,3.3,23.9,947,64.6,20.1,15.3,0.0,6.9
41001950100,Oregon,Baker County,2986,1412,1574,6.7,88.7,1.6,0.9,0.4,0.3,2378,46346.0,6582.0,25760.0,3652.0,19.9,39.3,42.2,8.7,24.4,13.4,11.3,73.0,13.6,0.0,4.1,3.1,6.2,21.2,1183,73.6,18.6,7.4,0.4,5.6
41001950200,Oregon,Baker County,3344,1654,1690,5.5,91.0,0.7,1.1,1.5,0.0,2528,51331.0,5549.0,29594.0,4256.0,14.7,24.4,28.6,19.4,19.3,19.1,13.6,66.3,17.0,0.0,8.1,1.6,6.9,13.1,1471,67.9,16.9,15.2,0.0,9.3
41001950300,Oregon,Baker County,2473,1330,1143,1.1,93.1,1.8,1.4,0.5,0.4,1912,42125.0,8735.0,23158.0,2545.0,17.4,24.9,30.3,19.1,17.8,12.4,20.4,72.6,19.8,0.0,0.7,3.7,3.2,14.8,961,74.9,16.6,8.4,0.0,8.9
41001950400,Oregon,Baker County,2685,1217,1468,3.0,91.2,0.0,0.0,0.9,1.4,2115,38309.0,5666.0,23847.0,2976.0,13.2,17.2,29.9,19.7,20.4,14.0,16.0,76.8,8.1,0.0,6.1,2.6,6.4,13.7,1000,69.2,20.3,9.2,1.3,9.5
41001950500,Oregon,Baker County,2618,1583,1035,3.7,89.7,1.1,1.4,0.8,0.1,2166,43500.0,8375.0,24463.0,3564.0,10.1,10.5,36.8,12.0,19.9,15.5,15.7,74.9,10.6,0.0,4.7,5.6,4.2,13.3,1064,74.7,21.1,4.1,0.0,2.9
41001950600,Oregon,Baker County,1874,960,914,2.1,94.5,0.2,1.4,0.2,0.2,1539,43188.0,6818.0,27419.0,4048.0,14.7,21.0,34.8,11.6,22.1,17.0,14.5,62.6,6.7,0.0,7.3,0.6,22.9,24.4,675,61.9,18.7,19.4,0.0,7.2
41003000100,Oregon,Benton County,8016,4019,3997,11.9,79.9,1.0,0.0,4.5,0.0,5948,52198.0,8462.0,27226.0,3047.0,19.8,10.8,45.5,22.9,11.3,6.7,13.5,72.9,6.2,2.7,2.2,9.5,6.5,20.3,4462,71.7,22.4,5.9,0.0,5.9
41003000202,Oregon,Benton County,4974,2415,2559,2.7,78.6,5.9,0.4,7.6,0.2,3914,63988.0,6362.0,38320.0,3653.0,11.9,3.4,62.8,15.6,14.2,2.3,5.2,62.7,10.5,7.2,2.6,10.3,6.7,17.9,2521,60.1,31.7,7.9,0.3,6.3
41003000400,Oregon,Benton County,7706,3655,4051,4.4,82.2,0.0,1.1,10.3,0.0,5893,85081.0,14481.0,45114.0,3900.0,11.3,2.8,64.3,14.1,16.1,2.4,3.1,69.3,7.0,4.8,2.9,10.1,5.9,20.7,3669,64.9,32.1,3.0,0.0,7.1
41003000500,Oregon,Benton County,3418,1746,1672,5.0,85.7,0.1,0.1,6.6,0.0,2611,83333.0,19886.0,46622.0,7212.0,9.1,6.3,63.7,9.4,16.7,4.4,5.8,68.4,10.7,0.0,1.1,7.7,12.1,22.3,1334,69.7,21.6,8.7,0.0,2.0
41003000600,Oregon,Benton County,4106,1841,2265,13.6,79.1,2.9,0.2,3.2,0.0,3086,32500.0,6455.0,29326.0,7554.0,19.6,27.5,40.8,25.1,25.1,4.5,4.4,68.2,12.2,4.0,1.0,6.0,8.5,16.3,1892,71.6,25.7,2.7,0.0,7.3
41003000900,Oregon,Benton County,5514,2851,2663,4.0,85.0,0.0,0.6,6.8,1.0,4276,75531.0,9257.0,43834.0,6834.0,20.7,25.1,69.6,8.4,17.7,2.3,2.0,59.9,3.7,2.2,10.1,16.8,7.3,16.8,2757,60.8,30.9,8.3,0.0,6.5
41003001001,Oregon,Benton County,4078,1896,2182,20.9,64.8,3.8,0.5,5.4,0.0,2707,35417.0,4377.0,20420.0,2272.0,28.7,35.8,38.8,21.1,22.9,7.1,10.1,70.3,5.6,5.1,5.3,10.0,3.6,14.3,1926,76.5,23.2,0.4,0.0,8.0
41003001002,Oregon,Benton County,3123,1751,1372,3.7,83.5,0.0,0.2,7.2,0.0,2547,52679.0,7043.0,28036.0,3402.0,25.0,16.5,52.1,17.1,19.9,5.9,5.0,57.6,10.4,7.0,5.3,17.0,2.8,12.1,1723,62.9,33.8,3.3,0.0,7.1
41003001101,Oregon,Benton County,3980,2212,1768,6.7,73.4,0.9,0.0,13.0,0.3,3429,17339.0,6457.0,13116.0,2106.0,64.6,36.7,37.3,29.1,20.6,4.3,8.7,44.8,6.5,1.4,18.7,18.4,10.2,16.4,1876,58.9,37.5,3.6,0.0,12.1
41003001102,Oregon,Benton County,4907,2569,2338,6.4,79.7,0.0,0.1,10.1,0.6,4007,26832.0,6260.0,17725.0,2248.0,49.3,14.9,39.2,31.4,16.7,6.8,5.9,36.4,7.1,0.0,27.0,22.1,7.4,17.3,2683,66.7,25.0,8.3,0.0,7.4
41003010100,Oregon,Benton County,9020,4506,4514,4.8,89.7,0.1,0.5,2.1,0.0,6796,81526.0,11354.0,36605.0,3141.0,4.2,3.1,53.0,10.2,19.5,7.4,9.9,85.7,4.4,0.0,0.4,2.9,6.5,25.2,3856,76.0,20.4,3.6,0.0,4.2
41003010200,Oregon,Benton County,4369,2199,2170,2.0,91.4,1.5,0.6,1.2,0.1,3341,66019.0,8301.0,33479.0,3447.0,9.0,6.0,49.2,12.4,22.0,10.2,6.2,71.0,14.9,0.5,2.5,1.5,9.7,27.3,2092,60.2,27.1,12.2,0.5,3.7
41003010300,Oregon,Benton County,3466,1791,1675,6.3,89.8,0.1,0.5,0.7,0.0,2609,65923.0,9080.0,30889.0,3482.0,9.9,10.2,45.1,17.3,14.1,14.4,9.1,77.9,9.9,0.0,4.1,1.2,7.0,30.2,1558,64.7,20.1,14.8,0.4,7.8
41003010400,Oregon,Benton County,3967,1956,2011,12.2,85.1,0.5,1.1,0.0,0.2,2724,58899.0,9672.0,31515.0,5207.0,9.8,17.9,33.6,15.5,20.1,18.0,12.8,78.4,10.6,0.5,3.2,0.5,6.8,27.3,1694,77.3,16.9,5.8,0.0,9.8
41003010600,Oregon,Benton County,5281,2753,2528,6.4,74.2,0.2,0.6,14.1,0.9,4307,19732.0,6163.0,15088.0,2945.0,53.1,0.0,50.6,22.6,22.9,2.5,1.4,40.6,3.3,0.7,27.7,11.5,16.1,10.7,1850,52.9,37.8,8.2,1.1,10.1
41003010702,Oregon,Benton County,3942,1945,1997,7.2,70.5,1.0,0.3,14.3,0.8,3229,24302.0,7504.0,16094.0,2586.0,43.2,19.7,40.1,28.7,20.6,4.6,6.0,35.1,4.8,0.8,33.1,14.7,11.5,13.8,1567,54.2,44.5,1.2,0.0,7.3
41003010800,Oregon,Benton County,3500,1742,1758,11.6,80.8,0.2,0.9,1.8,0.3,2492,55858.0,7681.0,24399.0,2295.0,18.1,22.1,35.9,17.0,26.2,12.3,8.5,71.6,12.2,0.1,3.3,5.8,7.0,20.9,1802,70.0,21.5,8.5,0.0,6.4
41003010900,Oregon,Benton County,4882,2751,2131,2.8,83.1,0.6,0.6,9.1,0.3,3756,75665.0,7739.0,40860.0,5167.0,18.3,11.1,60.4,9.0,16.3,7.9,6.5,77.2,9.1,0.0,1.4,5.7,6.5,18.2,2441,61.9,31.3,6.8,0.0,4.5
41005020100,Oregon,Clackamas County,3946,1943,2003,5.9,87.2,0.2,0.0,3.9,0.0,2927,103482.0,15237.0,61521.0,8276.0,6.6,5.2,59.1,10.7,22.8,4.7,2.8,65.2,7.5,6.7,1.8,1.3,17.5,24.9,1991,77.2,10.4,12.0,0.4,2.4
41005020200,Oregon,Clackamas County,6133,2699,3434,0.9,91.9,0.0,0.0,3.8,0.3,4891,96534.0,17302.0,83702.0,16316.0,5.8,5.0,59.9,4.3,25.7,2.6,7.4,75.6,8.4,3.4,1.0,0.0,11.5,25.4,3011,79.3,8.7,11.5,0.4,4.2
41005020302,Oregon,Clackamas County,3944,2042,1902,6.3,78.5,0.2,0.0,10.4,0.0,2972,87344.0,15714.0,52246.0,5760.0,5.7,10.4,51.5,11.7,24.8,3.9,8.2,69.5,7.4,3.0,3.2,4.7,12.2,23.3,2307,87.5,8.5,4.0,0.0,6.1
41005020303,Oregon,Clackamas County,5307,2256,3051,4.9,80.7,1.2,0.7,7.0,0.0,4259,67274.0,11825.0,47945.0,4789.0,6.0,4.3,64.5,7.7,23.8,1.8,2.2,66.5,11.5,7.7,0.8,0.4,13.2,23.8,3145,79.0,11.3,9.2,0.5,1.7
41005020304,Oregon,Clackamas County,5621,2908,2713,5.7,77.3,2.1,0.0,10.5,1.5,3880,90264.0,5859.0,46140.0,4528.0,7.5,12.7,57.8,9.8,25.0,1.4,6.0,76.5,8.0,2.7,2.3,0.5,10.1,20.3,2768,82.8,9.4,7.8,0.0,5.4
41005020401,Oregon,Clackamas County,5666,2692,2974,7.2,83.5,0.0,0.0,3.1,0.0,4351,89602.0,16616.0,48600.0,6319.0,4.4,5.9,52.1,12.2,24.3,6.3,5.1,71.8,4.5,3.0,1.2,2.3,17.1,23.4,2627,81.1,10.2,8.6,0.0,8.8
41005020403,Oregon,Clackamas County,3663,1892,1771,1.6,84.7,0.0,0.0,10.7,0.0,2593,177672.0,24745.0,81092.0,10199.0,2.6,2.8,61.8,3.8,26.9,2.2,5.3,72.0,7.2,1.1,1.1,1.1,17.5,24.6,1698,80.6,10.6,8.8,0.0,4.9
41005020404,Oregon,Clackamas County,3922,1863,2059,6.8,88.8,0.3,0.1,2.8,0.0,2809,152500.0,30154.0,70182.0,9647.0,1.7,1.6,58.9,11.2,23.6,2.6,3.7,69.8,5.7,2.2,0.0,2.5,19.8,24.0,1903,78.5,8.6,12.2,0.7,4.6
41005020501,Oregon,Clackamas County,7221,3400,3821,3.2,81.1,2.5,1.1,6.9,0.0,5090,109292.0,14619.0,52971.0,5078.0,4.7,0.0,60.3,8.4,24.6,2.2,4.5,84.4,4.7,1.1,0.0,0.5,9.3,28.7,3653,79.1,11.2,9.7,0.0,3.0
41005020503,Oregon,Clackamas County,2244,1031,1213,2.0,92.0,0.0,0.0,3.6,0.1,1629,92941.0,16827.0,57435.0,7286.0,4.1,3.7,61.8,6.8,26.7,1.5,3.2,69.6,6.3,1.2,1.8,1.5,19.8,24.7,1039,78.8,10.1,11.1,0.0,2.3
41005020504,Oregon,Clackamas County,6437,3018,3419,2.4,86.6,0.4,0.0,7.1,0.3,4925,100975.0,11559.0,55541.0,7799.0,3.1,0.0,61.6,8.5,21.5,4.1,4.4,71.1,10.3,3.5,1.0,1.7,12.4,30.3,3108,83.3,8.8,7.9,0.0,7.3
41005020505,Oregon,Clackamas County,2512,1162,1350,5.7,85.7,0.8,0.4,5.4,0.2,2059,86136.0,8719.0,54809.0,7665.0,9.7,15.3,62.5,4.1,26.7,3.7,3.1,68.8,9.1,2.2,1.1,3.4,15.5,29.5,982,86.3,5.3,8.5,0.0,5.1
41005020600,Oregon,Clackamas County,8815,4494,4321,8.4,79.8,2.4,0.2,7.0,0.0,5996,96588.0,9905.0,44019.0,5592.0,4.3,4.9,48.3,10.6,28.9,6.5,5.8,70.9,13.3,4.4,3.5,1.3,6.6,26.6,4559,82.6,9.5,7.9,0.0,2.9
